status,min,max,avg,stdVar
Cinema , 36.8068281293 , 69.9148858126 , 48.8241459937 , 21.7871085772
Cinema , 37.8667851248 , 64.7526477651 , 52.7644418051 , 17.8310962479
Cinema , 32.6429566252 , 66.1426750749 , 55.2493869813 , 18.5430182076
Cinema , 32.6429566252 , 66.1426750749 , 56.2231021463 , 19.5013108429
Cinema , 52.5760090554 , 63.6225448218 , 57.6792105823 , 21.5049221196
Cinema , 50.033627052 , 63.7434198124 , 57.38405425 , 21.0506651709
Cinema , 48.1485030628 , 65.5932888696 , 56.8468917211 , 20.2840357834
Cinema , 45.10946164 , 65.5932888696 , 55.7714690741 , 19.0144441404
Cinema , 41.86888935 , 64.7879024085 , 55.1418750503 , 18.4587716803
Cinema , 41.86888935 , 66.6708994205 , 56.8409633368 , 20.2760334579
Cinema , 47.9881629543 , 66.6708994205 , 57.8085308901 , 21.7108342393
Cinema , 50.5558223238 , 64.7432877679 , 57.409485035 , 21.088918817
Cinema , 52.066478901 , 64.9793909258 , 58.9785623619 , 23.7433877101
Cinema , 53.7953468163 , 66.2216745317 , 60.5201127159 , 26.79793029
Cinema , 47.8300704493 , 66.2216745317 , 59.6237302014 , 24.9768202007
Cinema , 47.8300704493 , 65.1293916968 , 59.215204864 , 24.1874939538
Cinema , 42.3387054477 , 65.1210352379 , 56.6498000553 , 20.0236317053
Cinema , 42.3387054477 , 63.2732980694 , 55.8863945913 , 19.1316109643
Cinema , 32.8680018759 , 65.1319890423 , 57.1999092182 , 20.7788238821
Cinema , 23.309366666 , 65.1528817656 , 49.245195085 , 21.1270912133
Cinema , 22.2528908527 , 65.1528817656 , 42.86912271 , 34.2332079535
Cinema , 19.747131347 , 64.5448984409 , 47.4079571198 , 24.2955297991
Cinema , 19.747131347 , 64.5448984409 , 53.5412932853 , 17.76729738
Cinema , 31.3626339612 , 64.5957302044 , 52.5337030139 , 17.9008069981
Cinema , 38.0561686054 , 64.5957302044 , 51.258162645 , 18.6874038308
Cinema , 39.0907000911 , 66.1165857794 , 55.0541082091 , 18.3933515251
Cinema , 49.0362262523 , 67.6493250776 , 58.3143271618 , 22.5538091953
Cinema , 49.8290318257 , 67.9899272419 , 60.1117318892 , 25.9541110075
Cinema , 41.6278276829 , 67.9899272419 , 59.1003357136 , 23.9706675552
Cinema , 41.6278276829 , 66.7717870126 , 57.9012736207 , 21.8609910884
Cinema , 48.8600517735 , 65.6909564814 , 57.9774478548 , 21.9858414957
Cinema , 33.6450702433 , 64.9617544532 , 55.3363581552 , 18.6144397751
Cinema , 33.6450702433 , 66.4747811826 , 55.166259816 , 18.4774847803
Cinema , 48.2517223346 , 66.9657421863 , 57.9967697439 , 22.0177250803
Cinema , 50.4046629277 , 68.3956144813 , 58.9005752582 , 23.5992601648
Cinema , 46.6122336565 , 68.3956144813 , 58.5350076657 , 22.9392025322
Cinema , 43.6095038186 , 66.368242346 , 58.1423951055 , 22.26077165
Cinema , 43.6095038186 , 69.5729891703 , 59.7118345753 , 25.1505985128
Cinema , 38.6292040286 , 69.7814188831 , 60.4108178949 , 26.5699198115
Cinema , 38.6292040286 , 69.7814188831 , 59.3502620332 , 24.4453611871
Cinema , 52.0198660234 , 67.8092437131 , 59.0101738074 , 23.8021286646
Cinema , 51.3656099604 , 68.3783723731 , 58.7930072304 , 23.4023394637
Cinema , 47.861186409 , 68.3783723731 , 58.2056554073 , 22.3678370936
Cinema , 39.9109795654 , 63.3535152924 , 56.2458062624 , 19.5276201115
Cinema , 39.9109795654 , 63.3535152924 , 54.7114208481 , 18.167402565
Cinema , 43.34736089 , 65.0662294752 , 52.7506718455 , 17.8346097074
Cinema , 40.4316065152 , 65.0662294752 , 51.3912450213 , 18.5749424702
Cinema , 40.4316065152 , 64.8422435132 , 49.8500547879 , 20.2611144977
Cinema , 40.9648025606 , 64.3919241627 , 49.433582978 , 20.8465350182
Cinema , 41.0002303516 , 68.5671184307 , 51.913779873 , 18.2003032748
Cinema , 42.3253643333 , 68.5671184307 , 53.3713759793 , 17.7586012877
Cinema , 43.8838958778 , 67.8318427466 , 56.1553339148 , 19.4238029092
Cinema , 46.2097943937 , 67.4880888465 , 57.3592235098 , 21.0134789349
Cinema , 46.2097943937 , 67.8653023134 , 57.4228743516 , 21.1091277014
Cinema , 42.7234490116 , 67.8653023134 , 58.0036470166 , 22.0290942725
Cinema , 42.7234490116 , 65.267991978 , 57.7858696942 , 21.6744573837
Cinema , 46.5099743901 , 68.1827112262 , 58.1829644861 , 22.3293316526
Cinema , 46.1682004428 , 68.644947662 , 57.8785593217 , 21.8240259018
Cinema , 46.1682004428 , 68.644947662 , 56.930192477 , 20.397569332
Cinema , 46.886667123 , 67.0183360463 , 57.2590845242 , 20.8651822709
Cinema , 48.1971514172 , 66.2680207591 , 58.1343539797 , 22.2472261371
Cinema , 42.8318988406 , 65.1867644346 , 57.0201663558 , 20.5224599076
Cinema , 42.8318988406 , 68.2458282751 , 55.327950754 , 18.6074088438
Cinema , 40.2084744848 , 68.2458282751 , 55.0980524627 , 18.4257277259
Cinema , 39.9210941471 , 68.5267200126 , 55.7403254824 , 18.9835047344
Cinema , 39.9210941471 , 68.5267200126 , 57.9831042452 , 21.9951663191
Cinema , 52.3498648354 , 67.6086874217 , 58.98338465 , 23.752336717
Cinema , 45.7242253322 , 67.6086874217 , 56.6899366741 , 20.0757096958
Cinema , 45.7242253322 , 69.5257504017 , 55.8289982373 , 19.0725089569
Cinema , 48.5932437559 , 69.5257504017 , 58.0651559808 , 22.1312608055
Cinema , 47.3695280353 , 65.8763085346 , 59.4233453865 , 24.5861897363
Cinema , 47.3695280353 , 65.1717529756 , 58.7119105745 , 23.2553464844
Cinema , 36.1264646288 , 65.1717529756 , 56.1667208886 , 19.4367190048
Cinema , 36.1264646288 , 64.9179869287 , 51.4918012401 , 18.4944765084
Cinema , 38.8100998041 , 64.9952898807 , 53.4055519761 , 17.7593303401
Cinema , 49.5565124571 , 67.441095482 , 58.3100141302 , 22.5463794705
Cinema , 49.8548339922 , 67.441095482 , 58.0627140864 , 22.1271883424
Cinema , 45.6380343273 , 65.6246003101 , 56.4586072398 , 19.7824081451
Cinema , 45.6380343273 , 65.6246003101 , 56.807099763 , 20.2305228123
Cinema , 51.3616114202 , 64.4136562078 , 58.6869250581 , 23.2103170954
Cinema , 50.2813777126 , 64.1551099015 , 58.3897018969 , 22.6842928616
Cinema , 44.1962555455 , 64.6210677732 , 55.8845145999 , 19.1296566852
Cinema , 38.9800637496 , 64.6210677732 , 51.7343084378 , 18.3167155367
Cinema , 21.8884063214 , 64.0378166098 , 44.9499355786 , 29.4160388244
Cinema , 21.8884063214 , 64.0378166098 , 48.0950809845 , 23.0276659073
Cinema , 47.7939554638 , 63.7332412762 , 55.2871111469 , 18.57364067
Cinema , 46.5335552089 , 63.7332412762 , 53.8443826093 , 17.8142624294
Cinema , 46.5335552089 , 65.3661347303 , 55.3950044099 , 18.6642337576
Cinema , 48.8399917709 , 65.3661347303 , 57.5903819015 , 21.3658765978
Cinema , 35.8326831009 , 63.1389611281 , 53.3399725267 , 17.7583843631
